 324    1901    1686    1984    1790         84     105
 325    1985    1686    2068    1790         84     105
 326    2069    1686    2152    1790         84     105
 327    2153    1686    2236    1790         84     105
 328    2237    1686    2324    1790         88     105
 329    2325    1686    2408    1790         84     105
 330    2409    1686    2492    1790         84     105
 331    2493    1686    2576    1790         84     105
 332    2577    1686    2660    1790         84     105
 333    2661    1686    2744    1790         84     105
 334    2745    1686    2828    1790         84     105
 335    2829    1686    2912    1790         84     105
 336    2913    1686    3200    1790        288     105
 337       1    1791     306    1923        306     133
 338     307    1791     552    1923        246     133
 339     553    1791     810    1923        258     133
 340     811    1791    1013    1923        203     133
 341    1014    1791    1079    1923         66     133
 342    1080    1791    1144    1923         65     133
 343    1145    1791    1212    1923         68     133
 344    1213    1791    1858    1923        646     133
 345    1859    1791    1925    1923         67     133
 346    1926    1791    1991    1923         66     133
 347    1992    1791    2057    1923         66     133
 348    2058    1791    2122    1923         65     133
 349    2123    1791    2231    1923        109     133
 350    2232    1791    2345    1923        114     133
 351    2346    1791    2411    1923         66     133
 352    2412    1791    2477    1923         66     133
 353    2478    1791    2543    1923         66     133
 354    2544    1791    2609    1923         66     133
 355    2610    1791    2675    1923         66     133
 356    2676    1791    2741    1923         66     133
 357    2742    1791    2806    1923         65     133
 358    2807    1791    2872    1923         66     133
 359    2873    1791    2938    1923         66     133
 360    2939    1791    3200    1923        262     133
 361       1    1924     710    2064        710     141
 362     711    1924     965    2064        255     141
 363     966    1924    1045    2064         80     141
 364    1046    1924    1110    2064         65     141
 365    1111    1924    1172    2064         62     141
 366    1173    1924    1766    2064        594     141
 367    1767    1924    1888    2064        122     141
 368    1889    1924    1951    2064         63     141
 369    1952    1924    2013    2064         62     141
 370    2014    1924    2075    2064         62     141
 371    2076    1924    2137    2064         62     141
 372    2138    1924    2211    2064         74     141
 373    2212    1924    2306    2064         95     141
 374    2307    1924    2369    2064         63     141
 375    2370    1924    2431    2064         62     141
 376    2432    1924    2494    2064         63     141
 377    2495    1924    2556    2064         62     141
 378    2557    1924    2618    2064         62     141
 379    2619    1924    2681    2064         63     141
 380    2682    1924    2743    2064         62     141
 381    2744    1924    2805    2064         62     141
 382    2806    1924    2915    2064        110     141
 383    2916    1924    2995    2064         80     141
 384    2996    1924    3200    2064        205     141
 385       1    2065     747    2183        747     119
 386     748    2065     875    2183        128     119
 387     876    2065    1026    2183        151     119
 388    1027    2065    1220    2183        194     119
 389    1221    2065    1377    2183        157     119
 390    1378    2065    1582    2183        205     119
 391    1583    2065    1691    2183        109     119
 392    1692    2065    1797    2183        106     119
 393    1798    2065    1870    2183         73     119
 394    1871    2065    1944    2183         74     119
 395    1945    2065    2018    2183         74     119
 396    2019    2065    2091    2183         73     119
 397    2092    2065    2165    2183         74     119
 398    2166    2065    2238    2183         73     119
 399    2239    2065    2313    2183         75     119
 400    2314    2065    2387    2183         74     119
 401    2388    2065    2461    2183         74     119
 402    2462    2065    2534    2183         73     119
 403    2535    2065    2608    2183         74     119
 404    2609    2065    2682    2183         74     119
 405    2683    2065    2767    2183         85     119
 406    2768    2065    2892    2183        125     119
 407    2893    2065    2967    2183         75     119
 408    2968    2065    3200    2183        233     119
 409       1    2184     733    2297        733     114
 410     734    2184     918    2297        185     114
 411     919    2184    1077    2297        159     114
